rad:1 - precision: 1.989311163895487, recall: 2.001792650134449, fscore: 1.9955323901712585
rad:2 - precision: 8.461995249406176, recall: 8.51508813863161, fscore: 8.488458674609085
rad:3 - precision: 19.56650831353919, recall: 19.67751567632129, fscore: 19.62185499478934
rad:4 - precision: 31.47268408551069, recall: 31.632348552670845, fscore: 31.552314332489953
rad:5 - precision: 44.00237529691211, recall: 44.14655942806077, fscore: 44.07434944237918
rad:6 - precision: 55.70071258907363, recall: 55.75037147102526, fscore: 55.725530966879546
rad:7 - precision: 65.35035629453682, recall: 65.21481481481482, fscore: 65.28251520094915
rad:8 - precision: 72.86223277909738, recall: 72.49630723781388, fscore: 72.67880941803642
rad:9 - precision: 78.2957244655582, recall: 77.74174528301887, fscore: 78.01775147928996
rad:10 - precision: 83.22446555819478, recall: 82.48969982342554, fscore: 82.85545373928467
rad:11 - precision: 86.312351543943, recall: 85.37444933920705, fscore: 85.84083862394802
rad:12 - precision: 87.88598574821853, recall: 86.77807094693638, fscore: 87.3285145301667
rad:13 - precision: 89.1627078384798, recall: 87.90983606557377, fscore: 88.5318396226415
rad:14 - precision: 89.87529691211401, recall: 88.53465925709271, fscore: 89.19994106379842
rad:15 - precision: 90.46912114014252, recall: 89.04149620105201, fscore: 89.74963181148749
ME: -0.01582591493570722, MPE: 3.623366065195203, MAPE: 12.657640897431582, MAE: 0.2344213649851632, MSE: 0.6201780415430267, RMSE: 0.7875138357787923, C_DET: 0.9167158591544078, PERSON: 0.9614623084290543,  MAHD: 49.599396703888544
